source_row,participant_id,condition,domain,position,metric,question_number,question_text,score
26,A028,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
27,A027,short,Reading,2,Reading_Q2,11,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
2,A001,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
3,A002,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
4,A003,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
5,A004,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
6,A005,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
7,A010,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,1
8,A006,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,6
9,A007,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
10,A009,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
11,A008,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
12,A015,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
13,A011,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
14,A012,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,1
15,A013,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
16,A020,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
17,A018,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
18,A016,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
19,A019,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
20,A025,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
21,A024,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,6
22,A023,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
23,A021,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,6
24,A022,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
25,A029,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
26,A028,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,7
27,A027,short,Reading,3,Reading_Q3,12,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
2,A001,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,7
3,A002,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,5
4,A003,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,4
5,A004,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,6
6,A005,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,7
7,A010,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,5
8,A006,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,2
9,A007,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,6
10,A009,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,2
11,A008,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,4
12,A015,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,6
13,A011,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,4
14,A012,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,5
15,A013,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,3
16,A020,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,6
17,A018,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,5
18,A016,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,4
19,A019,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,3
20,A025,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,3
21,A024,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,7
22,A023,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,4
23,A021,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,5
24,A022,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,5
25,A029,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,6
26,A028,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,7
27,A027,short,Output,1,Output_Q1,13,どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。,6
2,A001,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,7
3,A002,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,5
4,A003,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,3
5,A004,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,6
6,A005,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,7
7,A010,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,5
8,A006,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,3
9,A007,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,5
10,A009,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,2
11,A008,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,3
12,A015,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,6
13,A011,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,3
14,A012,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,5
15,A013,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,2
16,A020,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,7
17,A018,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,5
18,A016,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,3
19,A019,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,6
20,A025,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,3
21,A024,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,5
22,A023,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,2
23,A021,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,5
24,A022,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,6
25,A029,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,6
26,A028,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,7
27,A027,short,Output,2,Output_Q2,14,「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。,5
2,A001,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,3
3,A002,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,6
4,A003,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,4
5,A004,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,2
6,A005,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,2
7,A010,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,3
8,A006,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,2
9,A007,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,6
10,A009,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,2
11,A008,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,3
12,A015,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
13,A011,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
14,A012,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
15,A013,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,6
16,A020,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
17,A018,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,3
18,A016,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
19,A019,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,2
20,A025,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,3
21,A024,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
22,A023,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,4
23,A021,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
24,A022,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
25,A029,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,2
26,A028,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,7
27,A027,short,Output,3,Output_Q3,15,すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。,5
2,A001,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,7
3,A002,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,7
4,A003,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
5,A004,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
6,A005,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
7,A010,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
8,A006,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
9,A007,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
10,A009,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
11,A008,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
12,A015,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,1
13,A011,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
14,A012,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
15,A013,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,1
16,A020,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
17,A018,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
18,A016,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
19,A019,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
20,A025,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
21,A024,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,7
22,A023,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,3
23,A021,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
24,A022,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
25,A029,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
26,A028,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,6
27,A027,control,Reading,1,Reading_Q1,16,映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。,5
2,A001,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
3,A002,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
4,A003,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
5,A004,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
6,A005,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,4
7,A010,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
8,A006,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
9,A007,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,4
10,A009,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
11,A008,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,4
12,A015,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,1
13,A011,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,2
14,A012,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
15,A013,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,1
16,A020,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
17,A018,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
18,A016,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
19,A019,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
20,A025,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,2
21,A024,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,7
22,A023,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,2
23,A021,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
24,A022,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
25,A029,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,5
26,A028,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,6
27,A027,control,Reading,2,Reading_Q2,17,映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。,3
2,A001,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,4
3,A002,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
4,A003,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
5,A004,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
6,A005,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
7,A010,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
8,A006,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,3
9,A007,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,5
10,A009,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
11,A008,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,4
12,A015,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
13,A011,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
14,A012,control,Reading,3,Reading_Q3,18,登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。,2
